          0         1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70
0   1.000000  0.488007  0.594365  0.425195  0.390432  0.467780  0.407275  0.408325  0.454630  0.562174  0.420558  0.553532  0.559692  0.417964  0.069515  0.004695  0.017678  0.001726  0.174544  0.112378  0.030716  0.090309  0.022695  0.047710  0.014680  0.109048  0.056072  0.043175 -0.002015 -0.012005 -0.003917  0.141896  0.092680  0.014034  0.078574  0.013223  0.018139 -0.010064  0.064696  0.042800  0.218506  0.412704  0.186561  0.282043  0.117269  0.066465  0.200342  0.098429  0.077268  0.191687  0.216676  0.103174  0.148918  0.245083  0.020100  0.134029  0.098761  0.096017 -0.014089 -0.006309  0.116998  0.017511  0.017559  0.095482  0.052100 -0.025092  0.016636  0.112620  0.733795  0.321027  0.088047
1   0.488007  1.000000  0.522704  0.474856  0.331127  0.451311  0.353429  0.370232  0.518204  0.459644  0.381078  0.470253  0.462582  0.372039  0.104070 -0.003989  0.048959 -0.001282  0.097059  0.099025  0.029097  0.081626  0.024149  0.062187  0.063360  0.087893  0.048082  0.091320 -0.017738  0.022801 -0.007584  0.069082  0.079992  0.014619  0.070985  0.013352  0.037990  0.040506  0.050177  0.037115  0.201247  0.187632  0.344215  0.256979  0.152894  0.100150  0.199331  0.096636  0.105743  0.188540  0.210730  0.137445  0.111450  0.176818 -0.000439  0.015424  0.099460  0.102404  0.005339  0.050026  0.079950  0.042935  0.032155  0.051328  0.033930 -0.008827  0.011145  0.050738  0.674788  0.309932  0.064530
2   0.594365  0.522704  1.000000  0.447611  0.381969  0.483850  0.404057  0.393567  0.456693  0.607526  0.408478  0.573954  0.569398  0.452991  0.069476 -0.020483 -0.007130 -0.011862  0.145474  0.077532 -0.004912  0.060126 -0.018540  0.034887 -0.019122  0.099208  0.023736  0.053862 -0.027667 -0.057011 -0.017807  0.113391  0.057038 -0.021457  0.048772 -0.028056  0.002944 -0.042868  0.053112  0.010193  0.188388  0.216598  0.193812  0.412835  0.121945  0.051518  0.195396  0.077850  0.052495  0.157389  0.216803  0.078516  0.133667  0.221586 -0.018769  0.032899  0.059987  0.109744 -0.049689 -0.028499  0.093845 -0.032926 -0.025138  0.044419  0.018218 -0.060252 -0.008296  0.081671  0.747843  0.293247  0.035339
3   0.425195  0.474856  0.447611  1.000000  0.445300  0.466626  0.423262  0.464040  0.466807  0.427302  0.473769  0.432675  0.435831  0.386328  0.069344  0.017543  0.043651  0.032650  0.140358  0.079517  0.008802  0.101192  0.046140  0.068428  0.071262  0.129081  0.067012  0.058204  0.011011  0.021248  0.019390  0.102789  0.059767 -0.008532  0.087854  0.036414  0.045925  0.042914  0.094756  0.056706  0.175426  0.186778  0.196719  0.239822  0.371192  0.161397  0.213818  0.169599  0.166792  0.189210  0.204621  0.201287  0.134243  0.190060  0.008273  0.068545  0.092865  0.100962  0.127610  0.108681  0.120780  0.115481  0.084405  0.108794  0.064535  0.047739  0.066922  0.120246  0.685763  0.347723  0.133421
4   0.390432  0.331127  0.381969  0.445300  1.000000  0.411106  0.518236  0.536919  0.358434  0.400358  0.518890  0.374739  0.391772  0.359576  0.005845  0.025962 -0.014795  0.019889  0.108367  0.047351  0.014085  0.042928  0.001227 -0.057344 -0.067680  0.071175  0.044816 -0.004471  0.021405 -0.033829  0.013986  0.022829  0.029882 -0.007139  0.027377 -0.006242 -0.078328 -0.097469  0.041128  0.035533  0.169568  0.236379  0.179021  0.209850  0.243839  0.392074  0.235648  0.223665  0.265644  0.211376  0.221319  0.270228  0.194390  0.272279  0.060651  0.163238  0.163727  0.140032  0.122809  0.198129  0.185194  0.127571  0.123878  0.175932  0.088134  0.103403  0.135758  0.193325  0.656525  0.403218  0.213762
5   0.467780  0.451311  0.483850  0.466626  0.411106  1.000000  0.378361  0.375513  0.470880  0.475694  0.338663  0.468195  0.464698  0.362853  0.087322  0.039253  0.082395  0.010117  0.160200  0.093251  0.042412  0.100045  0.056800  0.132597  0.096938  0.118308  0.038355  0.075082  0.033042  0.058123  0.003928  0.125690  0.050688  0.026911  0.089280  0.046990  0.107498  0.076277  0.080998  0.027325  0.179348  0.124255  0.109018  0.173896  0.091461  0.114831  0.340270  0.088007  0.102598  0.106432  0.137700  0.098195  0.104781  0.115397 -0.014085 -0.051187 -0.041775 -0.036673 -0.070248  0.003649  0.050497  0.013299 -0.014453 -0.026991 -0.041167 -0.051181 -0.029002 -0.004446  0.666105  0.230267 -0.033797
6   0.407275  0.353429  0.404057  0.423262  0.518236  0.378361  1.000000  0.548667  0.410056  0.420754  0.496258  0.390874  0.397455  0.360160  0.029684 -0.012236 -0.037571  0.002651  0.051916  0.000387  0.016340  0.064325 -0.002443  0.017466 -0.040860  0.080724  0.117655  0.018958 -0.017094 -0.057671 -0.002965  0.007563 -0.015825 -0.024612  0.048466 -0.010988 -0.004651 -0.069556  0.049434  0.108329  0.171401  0.229392  0.202316  0.241620  0.236098  0.223237  0.233655  0.357664  0.270721  0.249980  0.214839  0.273392  0.203719  0.265353  0.052055  0.153256  0.173715  0.152060  0.123415  0.155279  0.179978  0.172021  0.140119  0.186505  0.087134  0.105077  0.115315  0.170120  0.664222  0.409790  0.211052
7   0.408325  0.370232  0.393567  0.464040  0.536919  0.375513  0.548667  1.000000  0.426295  0.440885  0.555176  0.401997  0.411124  0.404711  0.021212 -0.019880 -0.057079  0.035381  0.067054  0.025569  0.005636  0.069065 -0.033330 -0.049893 -0.074865  0.067834  0.086980  0.010446 -0.024967 -0.076623  0.029235  0.021178  0.009557 -0.016833  0.040084 -0.042213 -0.073012 -0.106716  0.035535  0.077289  0.192071  0.239857  0.206651  0.237171  0.294784  0.245306  0.254978  0.247734  0.378621  0.257771  0.246699  0.275536  0.207294  0.261222  0.077822  0.164104  0.167872  0.150205  0.142204  0.166779  0.194009  0.183502  0.218182  0.209348  0.119496  0.131647  0.149709  0.190179  0.685715  0.430673  0.240278
8   0.454630  0.518204  0.456693  0.466807  0.358434  0.470880  0.410056  0.426295  1.000000  0.531384  0.438150  0.477646  0.469803  0.401954  0.064913  0.019533  0.026477  0.012085  0.108221  0.100325  0.003845  0.071215  0.011620  0.062010  0.044020  0.106493  0.067261  0.052988  0.012405  0.003649  0.005894  0.077954  0.080457 -0.012947  0.058927 -0.009217  0.034045  0.017992  0.068319  0.056147  0.181635  0.184669  0.231021  0.239169  0.178907  0.120204  0.213782  0.142555  0.124061  0.362238  0.245537  0.190410  0.149001  0.176621  0.018728  0.076642  0.086135  0.097738  0.002635  0.062267  0.114839  0.070919  0.063923  0.130596  0.081452  0.041423  0.039673  0.080610  0.695042  0.340789  0.106203
9   0.562174  0.459644  0.607526  0.427302  0.400358  0.475694  0.420754  0.440885  0.531384  1.000000  0.490936  0.581054  0.564569  0.429336  0.022896 -0.004464 -0.026628 -0.010399  0.108455  0.033519 -0.010590  0.048590 -0.049813  0.010526 -0.070326  0.060079  0.017427  0.008064 -0.010783 -0.056897 -0.016074  0.074578  0.013239 -0.027818  0.035841 -0.060887 -0.042014 -0.098456  0.013096  0.003990  0.244231  0.248293  0.228856  0.291605  0.190108  0.106290  0.217650  0.126583  0.111890  0.244331  0.404021  0.154080  0.176774  0.251007  0.057662  0.101877  0.128855  0.118130  0.030793  0.015467  0.171918  0.031171  0.030710  0.149870  0.143667  0.009100  0.041343  0.148261  0.758836  0.372806  0.138718
10  0.420558  0.381078  0.408478  0.473769  0.518890  0.338663  0.496258  0.555176  0.438150  0.490936  1.000000  0.425686  0.405820  0.408333 -0.016565 -0.016366 -0.079908 -0.003442  0.097167  0.006999 -0.020500  0.048981 -0.042881 -0.083466 -0.118723  0.025092  0.028843 -0.027711 -0.021603 -0.100161 -0.009731  0.053014 -0.007491 -0.040818  0.032908 -0.052012 -0.109187 -0.176233 -0.009477  0.019205  0.191967  0.293893  0.255754  0.290927  0.349117  0.254357  0.238974  0.235239  0.257085  0.304743  0.292486  0.455674  0.235883  0.300635  0.088215  0.229885  0.236585  0.217962  0.184655  0.173957  0.240465  0.167140  0.180458  0.245327  0.177805  0.163652  0.175248  0.261324  0.695719  0.487248  0.298936
11  0.553532  0.470253  0.573954  0.432675  0.374739  0.468195  0.390874  0.401997  0.477646  0.581054  0.425686  1.000000  0.633710  0.430805  0.075748  0.002741  0.020463  0.004182  0.148121  0.142633  0.025235  0.086909  0.018454  0.074819  0.043748  0.136069  0.094207  0.061223 -0.003725 -0.008206 -0.001559  0.116675  0.123011  0.009225  0.075353  0.008502  0.044234  0.018453  0.055467  0.079219  0.217369  0.210363  0.169680  0.247592  0.133247  0.068467  0.177813  0.079868  0.056710  0.190663  0.200794  0.131270  0.322544  0.198355  0.026436  0.042394  0.075221  0.066457  0.009921  0.024452  0.092181  0.042723  0.039918  0.088751  0.056849  0.017795  0.083653  0.101313  0.740846  0.298015  0.087775
12  0.559692  0.462582  0.569398  0.435831  0.391772  0.464698  0.397455  0.411124  0.469803  0.564569  0.405820  0.633710  1.000000  0.478580  0.067112  0.011336  0.013172 -0.003243  0.123676  0.080697  0.019371  0.068683 -0.023780  0.074567  0.024300  0.081788  0.064753  0.052412  0.004974 -0.015258 -0.009029  0.090625  0.061033  0.003092  0.056832 -0.033570  0.044848  0.000335  0.030675  0.040996  0.233507  0.194074  0.157451  0.237629  0.116702  0.072112  0.170237  0.094638  0.060451  0.171125  0.197987  0.100975  0.183691  0.194528 -0.001721  0.054747  0.059346  0.062134 -0.022684  0.000786  0.075632  0.017355  0.025955  0.070113  0.024803  0.003106  0.030495  0.074336  0.744317  0.270421  0.056203
